knob,value,run,seq_us_op,batch_us_op,speedup,blocks_deduped,deduped_over
dup_ratio,0,1,0.478,0.231,2.072,85,16384
dup_ratio,0,2,0.423,0.151,2.805,85,16384
dup_ratio,0,3,0.489,0.172,2.833,85,16384
dup_ratio,0,4,0.544,0.197,2.763,85,16384
dup_ratio,0,5,0.438,0.138,3.177,85,16384
dup_ratio,25,1,0.407,0.127,3.193,4111,16384
dup_ratio,25,2,0.887,0.338,2.626,4111,16384
dup_ratio,25,3,0.413,0.156,2.642,4111,16384
dup_ratio,25,4,0.391,0.126,3.110,4111,16384
dup_ratio,25,5,0.404,0.143,2.821,4111,16384
dup_ratio,50,1,0.507,0.131,3.874,8069,16384
dup_ratio,50,2,0.670,0.200,3.357,8069,16384
dup_ratio,50,3,0.378,0.140,2.695,8069,16384
dup_ratio,50,4,0.446,0.112,3.963,8069,16384
dup_ratio,50,5,0.410,0.117,3.511,8069,16384
dup_ratio,75,1,0.386,0.107,3.617,12071,16384
dup_ratio,75,2,0.395,0.111,3.559,12071,16384
dup_ratio,75,3,0.402,0.105,3.816,12071,16384
dup_ratio,75,4,0.388,0.097,3.990,12071,16384
dup_ratio,75,5,0.374,0.090,4.162,12071,16384
hit_ratio,100,1,0.431,0.151,2.860,85,16384
hit_ratio,100,2,0.427,0.143,2.993,85,16384
hit_ratio,100,3,0.418,0.126,3.324,85,16384
hit_ratio,100,4,0.392,0.113,3.470,85,16384
hit_ratio,100,5,0.414,0.132,3.150,85,16384
hit_ratio,75,1,0.340,0.104,3.258,48,16384
hit_ratio,75,2,0.334,0.105,3.183,48,16384
hit_ratio,75,3,0.331,0.091,3.659,48,16384
hit_ratio,75,4,0.317,0.112,2.831,48,16384
hit_ratio,75,5,0.378,0.108,3.488,48,16384
hit_ratio,50,1,0.280,0.073,3.849,20,16384
hit_ratio,50,2,0.281,0.064,4.423,20,16384
hit_ratio,50,3,0.328,0.086,3.815,20,16384
hit_ratio,50,4,0.279,0.074,3.791,20,16384
hit_ratio,50,5,0.320,0.075,4.275,20,16384
hit_ratio,25,1,0.254,0.054,4.703,4,16384
hit_ratio,25,2,0.283,0.038,7.540,4,16384
hit_ratio,25,3,0.284,0.039,7.367,4,16384
hit_ratio,25,4,0.247,0.037,6.683,4,16384
hit_ratio,25,5,0.257,0.055,4.640,4,16384
