pattern,batch,run,seq_us_op,batch_us_op,speedup,blocks_deduped,deduped_over
random,1,1,0.372,0.571,0.651,0,256
random,1,2,0.402,0.376,1.071,0,256
random,1,3,0.410,0.414,0.990,0,256
random,1,4,0.379,0.376,1.010,0,256
random,1,5,0.434,0.400,1.083,0,256
random,16,1,0.472,0.158,2.994,5,4096
random,16,2,0.348,0.108,3.224,5,4096
random,16,3,0.447,0.229,1.955,5,4096
random,16,4,0.419,0.167,2.512,5,4096
random,16,5,0.465,0.151,3.073,5,4096
random,32,1,0.373,0.130,2.869,20,8192
random,32,2,0.487,0.214,2.271,20,8192
random,32,3,0.378,0.131,2.887,20,8192
random,32,4,0.423,0.152,2.775,20,8192
random,32,5,0.409,0.124,3.315,20,8192
random,64,1,0.400,0.125,3.194,85,16384
random,64,2,0.442,0.173,2.563,85,16384
random,64,3,0.495,0.169,2.938,85,16384
random,64,4,0.388,0.189,2.052,85,16384
random,64,5,0.404,0.159,2.543,85,16384
random,128,1,0.386,0.106,3.646,339,32768
random,128,2,0.451,0.147,3.066,339,32768
random,128,3,0.397,0.144,2.762,339,32768
random,128,4,0.398,0.117,3.400,339,32768
random,128,5,0.372,0.110,3.394,339,32768
random,256,1,0.421,0.146,2.873,1390,65536
random,256,2,0.426,0.197,2.160,1390,65536
random,256,3,0.431,0.118,3.635,1390,65536
random,256,4,0.603,0.268,2.251,1390,65536
random,256,5,0.403,0.146,2.759,1390,65536
sequential,1,1,0.366,0.383,0.954,0,256
sequential,1,2,0.384,0.391,0.983,0,256
sequential,1,3,0.412,0.417,0.988,0,256
sequential,1,4,0.418,0.428,0.977,0,256
sequential,1,5,0.592,0.462,1.281,0,256
sequential,16,1,0.466,0.176,2.656,5,4096
sequential,16,2,0.461,0.149,3.082,5,4096
sequential,16,3,0.611,0.190,3.207,5,4096
sequential,16,4,0.418,0.144,2.897,3,4096
sequential,16,5,0.371,0.131,2.835,6,4096
sequential,32,1,0.405,0.124,3.280,24,8192
sequential,32,2,0.385,0.124,3.098,24,8192
sequential,32,3,0.389,0.125,3.106,24,8192
sequential,32,4,0.424,0.144,2.953,24,8192
sequential,32,5,0.455,0.132,3.455,24,8192
sequential,64,1,0.454,0.136,3.333,98,16384
sequential,64,2,0.411,0.123,3.341,98,16384
sequential,64,3,0.376,0.134,2.814,102,16384
sequential,64,4,0.490,0.144,3.408,102,16384
sequential,64,5,0.437,0.139,3.156,100,16384
sequential,128,1,0.410,0.128,3.213,340,32768
sequential,128,2,0.425,0.150,2.830,340,32768
sequential,128,3,0.366,0.113,3.243,352,32768
sequential,128,4,0.415,0.134,3.100,352,32768
sequential,128,5,0.474,0.140,3.377,352,32768
sequential,256,1,0.424,0.148,2.854,1369,65536
sequential,256,2,0.400,0.218,1.838,1390,65536
sequential,256,3,0.453,0.145,3.128,1383,65536
sequential,256,4,0.566,0.149,3.800,1369,65536
sequential,256,5,0.418,0.144,2.914,1369,65536
