shape,interval,block_size,format,run,blocks,decompressed_bytes,on_disk_data_bytes,index_bytes,file_bytes,entries,forward_ns_per_entry,reverse_ns_per_entry,reverse_p99_ns,cache_hits,cache_misses
prefix-heavy,4,4096,legacy,0,2138,8872906,1381607,110861,1636326,120000,17.50,62.81,625,4276,0
prefix-heavy,4,4096,delta,0,1301,5341853,1184326,66758,1394958,120000,33.56,94.62,291,2602,0
prefix-heavy,4,4096,legacy,1,2138,8872906,1381607,110861,1636326,120000,17.97,60.31,584,4276,0
prefix-heavy,4,4096,delta,1,1301,5341853,1184326,66758,1394958,120000,34.77,92.24,292,2602,0
prefix-heavy,4,4096,legacy,2,2138,8872906,1381607,110861,1636326,120000,20.62,66.09,708,4276,0
prefix-heavy,4,4096,delta,2,1301,5341853,1184326,66758,1394958,120000,42.69,118.31,375,2602,0
prefix-heavy,4,4096,legacy,3,2138,8872906,1381607,110861,1636326,120000,17.64,66.25,709,4276,0
prefix-heavy,4,4096,delta,3,1301,5341853,1184326,66758,1394958,120000,33.86,92.69,292,2602,0
prefix-heavy,4,4096,legacy,4,2138,8872906,1381607,110861,1636326,120000,19.55,66.44,709,4276,0
prefix-heavy,4,4096,delta,4,1301,5341853,1184326,66758,1394958,120000,38.16,94.46,333,2602,0
prefix-heavy,4,8192,legacy,0,1079,8869174,1300865,55670,1500393,120000,21.38,64.11,125,2158,0
prefix-heavy,4,8192,delta,0,651,5333930,1097135,33391,1274400,120000,35.11,93.68,250,1302,0
prefix-heavy,4,8192,legacy,1,1079,8869174,1300865,55670,1500393,120000,26.53,93.37,125,2158,0
prefix-heavy,4,8192,delta,1,651,5333930,1097135,33391,1274400,120000,41.22,150.26,292,1302,0
prefix-heavy,4,8192,legacy,2,1079,8869174,1300865,55670,1500393,120000,18.07,176.44,167,2158,0
prefix-heavy,4,8192,delta,2,651,5333930,1097135,33391,1274400,120000,326.52,568.10,458,1302,0
prefix-heavy,4,8192,legacy,3,1079,8869174,1300865,55670,1500393,120000,33.86,210.34,291,2158,0
prefix-heavy,4,8192,delta,3,651,5333930,1097135,33391,1274400,120000,35.98,127.45,375,1302,0
prefix-heavy,4,8192,legacy,4,1079,8869174,1300865,55670,1500393,120000,16.78,83.76,167,2158,0
prefix-heavy,4,8192,delta,4,651,5333930,1097135,33391,1274400,120000,39.51,103.22,375,1302,0
prefix-heavy,4,16384,legacy,0,540,8866798,1255296,27737,1426891,120000,15.96,90.78,84,1080,0
prefix-heavy,4,16384,delta,0,326,5332295,1044916,16731,1205521,120000,46.24,366.35,375,652,0
