# threads=4 rounds/thread=5000 pairs=5 pre_reads=16 yield_on_death=false
arm run throughput_ops_s p50_ns p99_ns p999_ns commit_conflicts acquire_conflicts
optimistic 1 62838.7 8250 770333 4582083 27551 0
pessimistic 1 78786.7 26375 201125 3930833 0 111181
optimistic 2 59055.6 8958 815458 4587000 26200 0
pessimistic 2 85173.8 25375 140042 3778209 0 99343
optimistic 3 80042.5 7542 372583 3891583 30317 0
pessimistic 3 85352.1 25625 148667 3696625 0 97559
optimistic 4 74028.1 7375 502709 4157500 29167 0
pessimistic 4 65912.9 28125 321667 4190166 0 131306
optimistic 5 59950.3 7417 908542 4871042 26411 0
pessimistic 5 60069.7 31041 336875 4228833 0 135963
