# threads=8 rounds/thread=5000 pairs=5 pre_reads=0 yield_on_death=true
arm run throughput_ops_s p50_ns p99_ns p999_ns commit_conflicts acquire_conflicts
optimistic 1 111002.2 4458 1723083 5809375 10675 0
pessimistic 1 27601.0 130584 4181584 4948042 0 1069273
optimistic 2 100994.4 4334 1320375 5293209 16549 0
pessimistic 2 27215.6 132625 4301000 5234250 0 1116214
optimistic 3 147200.1 3833 1217292 7560042 2587 0
pessimistic 3 27244.3 141042 4026667 4972125 0 1030913
optimistic 4 147330.1 3417 1364583 7191667 3727 0
pessimistic 4 28329.0 135667 4084750 4707833 0 1030031
optimistic 5 97781.6 4833 2094917 6173416 10975 0
pessimistic 5 27737.2 143250 3952000 4573834 0 1014775
