# threads=8 rounds/thread=5000 pairs=5 pre_reads=0 yield_on_death=false
arm run throughput_ops_s p50_ns p99_ns p999_ns commit_conflicts acquire_conflicts
optimistic 1 125244.0 3958 1477250 6345083 6458 0
pessimistic 1 21511.3 190708 4113041 4971667 0 2073349
optimistic 2 146617.2 3416 1215834 7743042 4367 0
pessimistic 2 20573.7 200875 4157541 4940583 0 2242588
optimistic 3 107996.6 4334 1368167 5920167 13780 0
pessimistic 3 21061.1 198083 4144958 5015166 0 2166347
optimistic 4 156448.0 3375 1046584 7165166 3434 0
pessimistic 4 21658.5 191625 4101292 4738791 0 2091225
optimistic 5 99180.2 5000 2208209 6155750 10080 0
pessimistic 5 21300.7 187791 4236042 4889417 0 2142083
