config,engine,phase,run,ops
k16_v100,tidesdb,Put,1,1521025.50
k16_v100,tidesdb,Get,1,705936.08
k16_v100,tidesdb,Forward,1,5432476.02
k16_v100,tidesdb,Backward,1,4451472.32
k16_v100,tidesdb,Delete,1,207707.10
k16_v100,tidesdb,Put,2,1210429.43
k16_v100,tidesdb,Get,2,1250349.91
k16_v100,tidesdb,Forward,2,797866.18
k16_v100,tidesdb,Backward,2,5002980.29
k16_v100,tidesdb,Delete,2,235043.98
k16_v100,ondadb,Put,1,552730
k16_v100,ondadb,Get,1,768667
k16_v100,ondadb,Forward,1,4700279
k16_v100,ondadb,Backward,1,3904233
k16_v100,ondadb,Delete,1,746974
k16_v100,ondadb,Put,2,550342
k16_v100,ondadb,Get,2,945524
k16_v100,ondadb,Forward,2,4453651
k16_v100,ondadb,Backward,2,4094833
k16_v100,ondadb,Delete,2,1098230
k16_v100,fjall,Put,1,336277
k16_v100,fjall,Get,1,591149
k16_v100,fjall,Forward,1,915781
k16_v100,fjall,Backward,1,567473
k16_v100,fjall,Delete,1,296857
k16_v100,fjall,Put,2,268507
k16_v100,fjall,Get,2,4935
k16_v100,fjall,Forward,2,2358635
k16_v100,fjall,Backward,2,1518614
k16_v100,fjall,Delete,2,321759
k16_v100,surrealkv,Put,1,943576
k16_v100,surrealkv,Get,1,17673
k16_v100,surrealkv,Forward,1,1171520
k16_v100,surrealkv,Backward,1,766828
k16_v100,surrealkv,Delete,1,1946821
k16_v100,surrealkv,Put,2,995550
k16_v100,surrealkv,Get,2,17437
k16_v100,surrealkv,Forward,2,1355042
k16_v100,surrealkv,Backward,2,874593
k16_v100,surrealkv,Delete,2,1945017
k16_v100,wavesdb,Put,1,1435026
k16_v100,wavesdb,Get,1,2439722
k16_v100,wavesdb,Forward,1,3745572
k16_v100,wavesdb,Backward,1,3621934
k16_v100,wavesdb,Delete,1,2680233
k16_v100,wavesdb,Put,2,1193271
k16_v100,wavesdb,Get,2,2551255
k16_v100,wavesdb,Forward,2,3917051
k16_v100,wavesdb,Backward,2,3791877
k16_v100,wavesdb,Delete,2,2503817
k16_v100,badger,Put,1,599486
k16_v100,badger,Get,1,957902
k16_v100,badger,Forward,1,3098950
k16_v100,badger,Backward,1,3230906
k16_v100,badger,Delete,1,506514
k16_v100,badger,Put,2,582639
k16_v100,badger,Get,2,918870
k16_v100,badger,Forward,2,3306729
k16_v100,badger,Backward,2,3402782
k16_v100,badger,Delete,2,545029
k16_v100,rocksdb,Put,1,1053779
k16_v100,rocksdb,Get,1,1657346
k16_v100,rocksdb,Forward,1,2881850
k16_v100,rocksdb,Backward,1,2342341
k16_v100,rocksdb,Delete,1,2203758
k16_v100,rocksdb,Put,2,1097706
k16_v100,rocksdb,Get,2,1810490
k16_v100,rocksdb,Forward,2,2848321
k16_v100,rocksdb,Backward,2,2329683
k16_v100,rocksdb,Delete,2,2242575
k64_v512,tidesdb,Put,1,1311699.05
k64_v512,tidesdb,Get,1,2106437.85
k64_v512,tidesdb,Forward,1,8701147.66
k64_v512,tidesdb,Backward,1,4184844.24
k64_v512,tidesdb,Delete,1,555433.70
k64_v512,tidesdb,Put,2,1126757.46
k64_v512,tidesdb,Get,2,2238716.24
k64_v512,tidesdb,Forward,2,1238788.97
k64_v512,tidesdb,Backward,2,2044529.41
k64_v512,tidesdb,Delete,2,558586.65
k64_v512,ondadb,Put,1,356547
k64_v512,ondadb,Get,1,2647281
k64_v512,ondadb,Forward,1,2242777
k64_v512,ondadb,Backward,1,2469334
k64_v512,ondadb,Delete,1,3906833
k64_v512,ondadb,Put,2,354232
k64_v512,ondadb,Get,2,2536513
k64_v512,ondadb,Forward,2,2613536
k64_v512,ondadb,Backward,2,2257437
k64_v512,ondadb,Delete,2,3204828
k64_v512,fjall,Put,1,200373
k64_v512,fjall,Get,1,159873
