config,engine,phase,run,ops
k16_v100,tidesdb,Put,1,5514381.69
k16_v100,tidesdb,Get,1,1957713.20
k16_v100,tidesdb,Forward,1,9223978.74
k16_v100,tidesdb,Backward,1,6143748.11
k16_v100,tidesdb,Delete,1,697203.71
k16_v100,tidesdb,Put,2,6109338.67
k16_v100,tidesdb,Get,2,2191103.14
k16_v100,tidesdb,Forward,2,9564707.72
k16_v100,tidesdb,Backward,2,6799062.47
k16_v100,tidesdb,Delete,2,696019.69
k16_v100,ondadb,Put,1,6693767
k16_v100,ondadb,Get,1,2874294
k16_v100,ondadb,Forward,1,10753922
k16_v100,ondadb,Backward,1,9625538
k16_v100,ondadb,Delete,1,8745648
k16_v100,ondadb,Put,2,7401575
k16_v100,ondadb,Get,2,2390329
k16_v100,ondadb,Forward,2,8806677
k16_v100,ondadb,Backward,2,7675680
k16_v100,ondadb,Delete,2,8763669
k16_v100,fjall,Put,1,1144184
k16_v100,fjall,Get,1,2037107
k16_v100,fjall,Forward,1,2310362
k16_v100,fjall,Backward,1,2235106
k16_v100,fjall,Delete,1,1134232
k16_v100,fjall,Put,2,1403231
k16_v100,fjall,Get,2,2203019
k16_v100,fjall,Forward,2,2377147
k16_v100,fjall,Backward,2,1862970
k16_v100,fjall,Delete,2,1212477
k16_v100,surrealkv,Put,1,3153763
k16_v100,surrealkv,Get,1,128681
k16_v100,surrealkv,Forward,1,6903046
k16_v100,surrealkv,Backward,1,2242870
k16_v100,surrealkv,Delete,1,4527407
k16_v100,surrealkv,Put,2,3283541
k16_v100,surrealkv,Get,2,129363
k16_v100,surrealkv,Forward,2,6726831
k16_v100,surrealkv,Backward,2,2159149
k16_v100,surrealkv,Delete,2,4581617
k16_v100,wavesdb,Put,1,5598140
k16_v100,wavesdb,Get,1,2722713
k16_v100,wavesdb,Forward,1,6488121
k16_v100,wavesdb,Backward,1,6566254
k16_v100,wavesdb,Delete,1,6542770
k16_v100,wavesdb,Put,2,5983774
k16_v100,wavesdb,Get,2,2893346
k16_v100,wavesdb,Forward,2,8650154
k16_v100,wavesdb,Backward,2,7143752
k16_v100,wavesdb,Delete,2,6765301
k16_v100,badger,Put,1,921495
k16_v100,badger,Get,1,803938
k16_v100,badger,Forward,1,5413546
k16_v100,badger,Backward,1,5400549
k16_v100,badger,Delete,1,931566
k16_v100,badger,Put,2,920016
k16_v100,badger,Get,2,856046
k16_v100,badger,Forward,2,5580473
k16_v100,badger,Backward,2,5521204
k16_v100,badger,Delete,2,910482
k16_v100,wildcat,Put,1,64749
k16_v100,wildcat,Get,1,7184
k16_v100,wildcat,Forward,1,74251
k16_v100,wildcat,Backward,1,73945
k16_v100,wildcat,Delete,1,76509
k16_v100,wildcat,Put,2,65287
k16_v100,wildcat,Get,2,7140
k16_v100,wildcat,Forward,2,68844
k16_v100,wildcat,Backward,2,69772
k16_v100,wildcat,Delete,2,76573
k16_v100,rocksdb,Put,1,2061216
k16_v100,rocksdb,Get,1,3297637
k16_v100,rocksdb,Forward,1,3526770
k16_v100,rocksdb,Backward,1,2976760
k16_v100,rocksdb,Delete,1,4398062
k16_v100,rocksdb,Put,2,2159373
k16_v100,rocksdb,Get,2,3265572
k16_v100,rocksdb,Forward,2,3740740
k16_v100,rocksdb,Backward,2,3231231
k16_v100,rocksdb,Delete,2,4609768
